Date, AwayTeamRecord, AwayTeamName, AwayTeamScore, HomeTeamRecord, HomeTeamName, HomeTeamScore 
Thu Aug 9, (1-0-0), Browns ,20, (0-1-0), Giants,10
Thu Aug 9, (0-2-0), Bears ,27, (1-0-0), Bengals,30
Thu Aug 9, (1-0-0), Saints ,24, (0-1-0), Jaguars,20
Thu Aug 9, (1-0-0), Steelers ,31, (0-1-0), Eagles,14
Thu Aug 9, (1-0-0), Buccaneers ,26, (0-1-0), Dolphins,24
Thu Aug 9, (1-0-0), Panthers ,28, (0-1-0), Bills,23
Thu Aug 9, (0-1-0), Rams ,7, (2-0-0), Ravens,33
Thu Aug 9, (0-1-0), Redskins ,17, (1-0-0), Patriots,26
Thu Aug 9, (0-1-0), Titans ,17, (1-0-0), Packers,31
Thu Aug 9, (1-0-0), Texans ,17, (0-1-0), Chiefs,10
Thu Aug 9, (0-1-0), Cowboys ,21, (1-0-0), 49ers,24
Thu Aug 9, (1-0-0), Colts ,19, (0-1-0), Seahawks,17
Fri Aug 10, (0-1-0), Falcons ,0, (1-0-0), Jets,17
Fri Aug 10, (0-1-0), Lions ,10, (1-0-0), Raiders,16
Sat Aug 11, (1-0-0), Vikings ,42, (0-1-0), Broncos,28
Sat Aug 11, (0-1-0), Chargers ,17, (1-0-0), Cardinals,24
